random_seed,n_neurons,n_train,inhib,time,timestep,theta_plus,theta_decay,norm,intensity,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,mean_ngram,max_all_activity,max_proportion_weighting,max_ngram
12,200,16000,100.0,250,1.0,1.0,1e-05,50.0,0.5,10,100,54.30625,54.6125,56.4375,68.0,67.0,69.0
13,100,16000,100.0,250,1.0,2.5,1e-05,50.0,0.5,10,100,50.74375,50.98125,54.26875,68.0,67.0,67.0
13,200,16000,100.0,250,1.0,1.0,1e-05,62.5,0.5,10,100,54.36875,54.34375,56.03125,69.0,68.0,69.0
11,200,16000,100.0,250,1.0,2.5,1e-05,62.5,0.5,10,100,54.31875,54.51875,57.54375,70.0,67.0,70.0
13,200,16000,100.0,250,1.0,1.0,1e-05,50.0,0.5,10,100,55.01875,55.2125,56.50625,69.0,69.0,72.0
12,200,16000,100.0,250,1.0,2.5,1e-05,50.0,0.5,10,100,55.63125,55.75625,57.6125,68.0,69.0,72.0
12,200,16000,100.0,250,1.0,2.5,1e-05,75.0,0.5,10,100,52.75625,52.9125,55.89375,67.0,68.0,69.0
1,400,16000,100.0,250,1.0,10.0,0.0001,62.575,0.5,10,100,55.75625,55.6375,55.74375,71.0,71.0,69.0
12,200,16000,100.0,250,1.0,2.5,1e-05,62.5,0.5,10,100,54.325,54.50625,56.49375,67.0,68.0,71.0
1,400,16000,100.0,250,1.0,5.0,0.0001,75.0,0.5,10,100,55.075,55.0625,55.40625,70.0,69.0,70.0
11,200,16000,100.0,250,1.0,2.5,1e-05,50.0,0.5,10,100,54.9375,55.025,57.6375,70.0,70.0,74.0
13,100,16000,100.0,250,1.0,5.0,1e-05,75.0,0.5,10,100,50.725,50.88125,52.80625,64.0,64.0,67.0
